Found 570 ships
<47.99165°N 4.824633°W @ 2013-10-01T21:39:00
<47.99502°N 4.823767°W @ 2013-10-01T21:48:00
AIGRAN D (7 positions)
<49.44051°N 4.323562°W @ 2013-09-30T21:56:00
<49.25567°N 4.833647°W @ 2013-09-30T23:33:00
<49.23461°N 4.8854°W @ 2013-09-30T23:44:00
<49.19692°N 4.975572°W @ 2013-10-01T00:02:00
<49.1693°N 5.019962°W @ 2013-10-01T00:13:00
<48.24987°N 5.846308°W @ 2013-10-01T05:39:00
<47.51792°N 5.438962°W @ 2013-10-01T09:02:00
ALCOR (72 positions)
<47.81292°N 4.382362°W @ 2013-10-01T00:38:00
<47.81283°N 4.382445°W @ 2013-10-01T00:49:00
<47.81286°N 4.382452°W @ 2013-10-01T00:59:00
<47.8079°N 4.38787°W @ 2013-10-01T01:08:00
<47.80694°N 4.415502°W @ 2013-10-01T01:16:00
<47.8033°N 4.455155°W @ 2013-10-01T01:28:00
<47.79903°N 4.492002°W @ 2013-10-01T01:38:00
<47.79528°N 4.528089°W @ 2013-10-01T01:49:00
<47.79269°N 4.551305°W @ 2013-10-01T01:55:00
<47.78685°N 4.597617°W @ 2013-10-01T02:09:00
<47.78202°N 4.632982°W @ 2013-10-01T02:19:00
<47.77843°N 4.662633°W @ 2013-10-01T02:27:00
<47.77373°N 4.70149°W @ 2013-10-01T02:38:00
<47.77055°N 4.738818°W @ 2013-10-01T02:49:00
<47.76694°N 4.768452°W @ 2013-10-01T02:57:00
<47.76331°N 4.804769°W @ 2013-10-01T03:08:00
<47.76199°N 4.810256°W @ 2013-10-01T03:19:00
<47.76266°N 4.811293°W @ 2013-10-01T03:28:00
<47.76218°N 4.814054°W @ 2013-10-01T03:38:00
<47.76207°N 4.816482°W @ 2013-10-01T03:49:00
<47.76203°N 4.818913°W @ 2013-10-01T03:58:00
<47.76221°N 4.82085°W @ 2013-10-01T04:09:00
<47.76211°N 4.821959°W @ 2013-10-01T04:18:00
<47.76208°N 4.823452°W @ 2013-10-01T04:28:00
<47.76183°N 4.825473°W @ 2013-10-01T04:39:00
<47.76171°N 4.826215°W @ 2013-10-01T04:48:00
<47.76149°N 4.826935°W @ 2013-10-01T04:56:00
<47.75999°N 4.839783°W @ 2013-10-01T05:28:00
<47.76067°N 4.841693°W @ 2013-10-01T05:39:00
<47.76065°N 4.852277°W @ 2013-10-01T05:56:00
<47.76224°N 4.84914°W @ 2013-10-01T06:08:00
<47.76237°N 4.848065°W @ 2013-10-01T06:17:00
<47.76263°N 4.846704°W @ 2013-10-01T06:28:00
<47.76282°N 4.845757°W @ 2013-10-01T06:38:00
<47.76297°N 4.844789°W @ 2013-10-01T06:49:00
<47.7632°N 4.843895°W @ 2013-10-01T06:58:00
<47.76334°N 4.84326°W @ 2013-10-01T07:08:00
<47.76351°N 4.842443°W @ 2013-10-01T07:15:00
<47.76363°N 4.840895°W @ 2013-10-01T07:29:00
<47.76362°N 4.839818°W @ 2013-10-01T07:37:00
<47.76397°N 4.839135°W @ 2013-10-01T07:48:00
